time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
3.328079,0.565032,2.791639,9.457097,-0.133779,0.075136,0.040317,0.97928333,0.15863298,-0.00104244,0.12585229
3.347953,0.335188,2.710236,9.066842,-0.183870,0.120951,0.008552,0.97943282,0.15697363,-0.00057266,0.12676856
3.369366,0.222661,2.710236,9.351752,-0.243735,0.021380,0.056810,0.97859454,0.15495710,0.00167588,0.13541909
3.388375,0.411803,2.729390,9.902418,-0.198531,-0.076358,0.076358,0.97881877,0.15233904,0.00158058,0.13676333
3.408556,0.574608,2.693477,10.093954,-0.095295,-0.024435,0.047037,0.97723281,0.15024062,0.00235624,0.14979437
3.428181,0.363919,2.600103,9.627085,-0.020159,0.054367,0.003665,0.97526675,0.14897931,0.00380848,0.16323426
3.448519,0.258574,2.554613,9.196129,-0.029932,0.007330,0.021991,0.97347355,0.14817613,0.00585997,0.17423806
3.468295,0.296881,2.590526,9.188946,-0.078802,-0.084910,0.055589,0.97243136,0.14728782,0.00676209,0.18065944
3.488567,0.663194,2.674323,9.548077,-0.092241,-0.106901,0.043982,0.97248960,0.14618818,0.00581774,0.18127097
3.508526,0.421380,2.674323,9.612720,-0.061087,-0.007330,-0.017715,0.97262096,0.14518102,0.00445991,0.18141399
3.528673,0.229843,2.559402,9.373300,-0.041539,0.077580,-0.025045,0.97282678,0.14434788,0.00422493,0.18098064
3.548614,0.390255,2.511518,9.311050,-0.042761,-0.037874,0.017104,0.97304279,0.14349692,0.00491875,0.18047810
3.568882,0.328006,2.590526,9.519346,-0.032987,-0.112399,0.027489,0.97312450,0.14280294,0.00448016,0.18059941
3.589136,0.399832,2.588132,9.557653,0.000611,-0.077580,0.021991,0.97300863,0.14231139,0.00354090,0.18162955
3.609050,0.423774,2.533065,9.414001,0.023824,-0.016493,-0.005498,0.97278219,0.14207295,0.00307318,0.18303183
3.628827,0.275333,2.485181,9.083601,-0.004887,0.010385,-0.009163,0.97264081,0.14192212,0.00319276,0.18389662
3.649163,0.311246,2.523489,9.205706,-0.051313,-0.060476,0.020159,0.97270072,0.14149101,0.00344871,0.18390733
3.668840,0.306458,2.571373,9.459491,-0.043982,-0.109956,0.037263,0.97285634,0.14080182,0.00285618,0.18362263
3.689356,0.373495,2.494758,9.368511,-0.022602,-0.059865,0.036652,0.97317970,0.14024809,0.00171361,0.18234290
3.709156,0.469264,2.557007,9.265560,-0.048258,0.040317,0.009163,0.97356254,0.13979584,0.00102190,0.18064347
3.729332,0.483629,2.535460,9.363723,-0.067195,0.021991,-0.001222,0.97398990,0.13907969,0.00115402,0.17888311
3.749289,0.404620,2.535460,9.600749,-0.045815,-0.035430,-0.006720,0.97435570,0.13827562,0.00109534,0.17750953
3.769361,0.332794,2.552219,9.588778,-0.010385,-0.033598,0.005498,0.97468430,0.13774171,0.00055954,0.17611806
3.789490,0.517148,2.547431,9.454702,0.012828,-0.010996,0.006720,0.97499895,0.13749954,0.00011229,0.17455910
3.809853,0.474052,2.477999,9.279925,-0.002443,0.034208,-0.021380,0.97518373,0.13749409,-0.00008478,0.17352837
3.829731,0.292093,2.466028,9.234436,-0.032987,-0.002443,-0.013439,0.97543228,0.13728166,0.00013326,0.17229545
3.849662,0.337582,2.521094,9.471462,-0.048258,-0.054978,0.028100,0.97574377,0.13682631,-0.00004421,0.17088774
3.869644,0.670376,2.540248,9.629479,-0.020769,-0.026878,0.022602,0.97594243,0.13629402,-0.00070882,0.17017595
3.889785,0.629675,2.549825,9.488221,0.007330,0.007941,-0.021380,0.97594774,0.13603112,-0.00103949,0.17035398
3.909749,0.426168,2.499547,9.394848,0.003665,-0.009774,-0.032987,0.97596604,0.13600338,-0.00096303,0.17027201
3.929879,0.323217,2.492364,9.406818,0.006109,-0.018326,-0.002443,0.97586375,0.13596901,-0.00090591,0.17088450
3.949891,0.519542,2.487576,9.339781,0.009163,-0.021380,0.010385,0.97557354,0.13594902,-0.00080623,0.17255022
3.970106,0.569820,2.449268,9.380483,0.000000,-0.037263,-0.007941,0.97548312,0.13597731,-0.00095465,0.17303760
3.990234,0.495600,2.470816,9.581595,0.007941,-0.040928,-0.023824,0.97549194,0.13592352,-0.00132501,0.17302762
4.010059,0.497994,2.413355,9.485827,0.041539,-0.021991,-0.031154,0.97554797,0.13589573,-0.00171272,0.17272997
